"Variable"	"Observation"	"Group"	"Series"	"Measurement"
"variable01"	"observation001"	"group01"	1	0.477108265040442
"variable02"	"observation002"	"group01"	1	0.148128707893193
"variable03"	"observation003"	"group01"	1	0.749887192388996
"variable04"	"observation004"	"group01"	1	0.273338730214164
"variable05"	"observation005"	"group01"	1	0.480998438084498
"variable06"	"observation006"	"group01"	1	0.0265941862016916
"variable07"	"observation007"	"group01"	1	0.239652590360492
"variable08"	"observation008"	"group01"	1	0.909097076626495
"variable09"	"observation009"	"group01"	1	0.239443113328889
"variable10"	"observation010"	"group01"	1	0.00274551496841013
"variable01"	"observation011"	"group02"	1	0.742848579538986
"variable02"	"observation012"	"group02"	1	0.448795423377305
"variable03"	"observation013"	"group02"	1	0.463501284597442
"variable04"	"observation014"	"group02"	1	0.60437533329241
"variable05"	"observation015"	"group02"	1	0.0606413439381868
"variable06"	"observation016"	"group02"	1	0.682880702894181
"variable07"	"observation017"	"group02"	1	0.736091448226944
"variable08"	"observation018"	"group02"	1	0.764965926995501
"variable09"	"observation019"	"group02"	1	0.145048245089129
"variable10"	"observation020"	"group02"	1	0.325219279620796
"variable01"	"observation021"	"group03"	1	0.360779020469636
"variable02"	"observation022"	"group03"	1	0.479822227731347
"variable03"	"observation023"	"group03"	1	0.4965181928128
"variable04"	"observation024"	"group03"	1	0.631186965852976
"variable05"	"observation025"	"group03"	1	0.786516914376989
"variable06"	"observation026"	"group03"	1	0.173064383910969
"variable07"	"observation027"	"group03"	1	0.74273881316185
"variable08"	"observation028"	"group03"	1	0.0611404611263424
"variable09"	"observation029"	"group03"	1	0.164865453727543
"variable10"	"observation030"	"group03"	1	0.652986765140668
"variable01"	"observation031"	"group04"	1	0.681956397835165
"variable02"	"observation032"	"group04"	1	0.897761795204133
"variable03"	"observation033"	"group04"	1	0.0205089736264199
"variable04"	"observation034"	"group04"	1	0.376396722625941
"variable05"	"observation035"	"group04"	1	0.51861476758495
"variable06"	"observation036"	"group04"	1	0.490396677982062
"variable07"	"observation037"	"group04"	1	0.572079894831404
"variable08"	"observation038"	"group04"	1	0.689534592675045
"variable09"	"observation039"	"group04"	1	0.172764708055183
"variable10"	"observation040"	"group04"	1	0.864365335321054
"variable01"	"observation041"	"group05"	1	0.913009484997019
"variable02"	"observation042"	"group05"	1	0.936171719338745
"variable03"	"observation043"	"group05"	1	0.264740384649485
"variable04"	"observation044"	"group05"	1	0.823632576968521
"variable05"	"observation045"	"group05"	1	0.959633946884423
"variable06"	"observation046"	"group05"	1	0.280981103191152
"variable07"	"observation047"	"group05"	1	0.578476250171661
"variable08"	"observation048"	"group05"	1	0.552770831855014
"variable09"	"observation049"	"group05"	1	0.802665388211608
"variable10"	"observation050"	"group05"	1	0.445090841967613
"variable01"	"observation051"	"group06"	1	0.879476696485654
"variable02"	"observation052"	"group06"	1	0.925690924515948
"variable03"	"observation053"	"group06"	1	0.696567150298506
"variable04"	"observation054"	"group06"	1	0.0679353186860681
"variable05"	"observation055"	"group06"	1	0.265316841658205
"variable06"	"observation056"	"group06"	1	0.745205280603841
"variable07"	"observation057"	"group06"	1	0.255729320691898
"variable08"	"observation058"	"group06"	1	0.607370265526697
"variable09"	"observation059"	"group06"	1	0.704639378935099
"variable10"	"observation060"	"group06"	1	0.658031808910891
"variable01"	"observation061"	"group07"	1	0.237093495670706
"variable02"	"observation062"	"group07"	1	0.631756886839867
"variable03"	"observation063"	"group07"	1	0.0969201892148703
"variable04"	"observation064"	"group07"	1	0.305841314373538
"variable05"	"observation065"	"group07"	1	0.793339419411495
"variable06"	"observation066"	"group07"	1	0.447227114113048
"variable07"	"observation067"	"group07"	1	0.0134280135389417
"variable08"	"observation068"	"group07"	1	0.518760481150821
"variable09"	"observation069"	"group07"	1	0.237409274326637
"variable10"	"observation070"	"group07"	1	0.165379727026448
"variable01"	"observation071"	"group08"	1	0.185583306942135
"variable02"	"observation072"	"group08"	1	0.631806910270825
"variable03"	"observation073"	"group08"	1	0.468669019639492
"variable04"	"observation074"	"group08"	1	0.600343024358153
"variable05"	"observation075"	"group08"	1	0.585701455362141
"variable06"	"observation076"	"group08"	1	0.596517386147752
"variable07"	"observation077"	"group08"	1	0.81218552775681
"variable08"	"observation078"	"group08"	1	0.506929782684892
"variable09"	"observation079"	"group08"	1	0.109723586589098
"variable10"	"observation080"	"group08"	1	0.477075566304848
"variable01"	"observation081"	"group09"	1	0.559165954822674
"variable02"	"observation082"	"group09"	1	0.150790871819481
"variable03"	"observation083"	"group09"	1	0.240086570614949
"variable04"	"observation084"	"group09"	1	0.578047425486147
"variable05"	"observation085"	"group09"	1	0.89230871386826
"variable06"	"observation086"	"group09"	1	0.244418767513707
"variable07"	"observation087"	"group09"	1	0.409049202688038
"variable08"	"observation088"	"group09"	1	0.619527605362236
"variable09"	"observation089"	"group09"	1	0.389729592716321
"variable10"	"observation090"	"group09"	1	0.616971812443808
"variable01"	"observation091"	"group10"	1	0.0669933217577636
"variable02"	"observation092"	"group10"	1	0.53617303003557
"variable03"	"observation093"	"group10"	1	0.962212899234146
"variable04"	"observation094"	"group10"	1	0.698461635038257
"variable05"	"observation095"	"group10"	1	0.293048505438492
"variable06"	"observation096"	"group10"	1	0.0701512470841408
"variable07"	"observation097"	"group10"	1	0.199014250654727
"variable08"	"observation098"	"group10"	1	0.136023059487343
"variable09"	"observation099"	"group10"	1	0.0792978806421161
"variable10"	"observation100"	"group10"	1	0.275356620317325
"variable01"	"observation101"	"group01"	2	0.0879962150938809
"variable02"	"observation102"	"group01"	2	0.0459176595322788
"variable03"	"observation103"	"group01"	2	0.183526397682726
"variable04"	"observation104"	"group01"	2	0.161283900029957
"variable05"	"observation105"	"group01"	2	0.404528987826779
"variable06"	"observation106"	"group01"	2	0.00209736241959035
"variable07"	"observation107"	"group01"	2	0.771828616736457
"variable08"	"observation108"	"group01"	2	0.891293914988637
"variable09"	"observation109"	"group01"	2	0.250889817718416
"variable10"	"observation110"	"group01"	2	0.980225343257189
"variable01"	"observation111"	"group02"	2	0.83722697221674
"variable02"	"observation112"	"group02"	2	0.976680137217045
"variable03"	"observation113"	"group02"	2	0.906326152151451
"variable04"	"observation114"	"group02"	2	0.480405410984531
"variable05"	"observation115"	"group02"	2	0.349926526658237
"variable06"	"observation116"	"group02"	2	0.0641066909302026
"variable07"	"observation117"	"group02"	2	0.572915077907965
"variable08"	"observation118"	"group02"	2	0.319936864078045
"variable09"	"observation119"	"group02"	2	0.785244152415544
"variable10"	"observation120"	"group02"	2	0.898137250449508
"variable01"	"observation121"	"group03"	2	0.0205501376185566
"variable02"	"observation122"	"group03"	2	0.828301837667823
"variable03"	"observation123"	"group03"	2	0.308000735240057
"variable04"	"observation124"	"group03"	2	0.508140142308548
"variable05"	"observation125"	"group03"	2	0.0724847284145653
"variable06"	"observation126"	"group03"	2	0.54554052464664
"variable07"	"observation127"	"group03"	2	0.48342673596926
"variable08"	"observation128"	"group03"	2	0.903707968769595
"variable09"	"observation129"	"group03"	2	0.890089636901394
"variable10"	"observation130"	"group03"	2	0.312508059199899
"variable01"	"observation131"	"group04"	2	0.144557709340006
"variable02"	"observation132"	"group04"	2	0.239979953737929
"variable03"	"observation133"	"group04"	2	0.920287797460333
"variable04"	"observation134"	"group04"	2	0.928486386081204
"variable05"	"observation135"	"group04"	2	0.45602373057045
"variable06"	"observation136"	"group04"	2	0.0177278132177889
"variable07"	"observation137"	"group04"	2	0.43612173339352
"variable08"	"observation138"	"group04"	2	0.0844555508811027
"variable09"	"observation139"	"group04"	2	0.52851617266424
"variable10"	"observation140"	"group04"	2	0.483660644618794
"variable01"	"observation141"	"group05"	2	0.603518472984433
"variable02"	"observation142"	"group05"	2	0.464621296152472
"variable03"	"observation143"	"group05"	2	0.259203021181747
"variable04"	"observation144"	"group05"	2	0.276861093239859
"variable05"	"observation145"	"group05"	2	0.443185790674761
"variable06"	"observation146"	"group05"	2	0.389485186198726
"variable07"	"observation147"	"group05"	2	0.680760687915608
"variable08"	"observation148"	"group05"	2	0.111588679952547
"variable09"	"observation149"	"group05"	2	0.639752716990188
"variable10"	"observation150"	"group05"	2	0.777577616740018
"variable01"	"observation151"	"group06"	2	0.395009981235489
"variable02"	"observation152"	"group06"	2	0.113274957984686
"variable03"	"observation153"	"group06"	2	0.374850737396628
"variable04"	"observation154"	"group06"	2	0.937208116520196
"variable05"	"observation155"	"group06"	2	0.828600717009977
"variable06"	"observation156"	"group06"	2	0.880783240543678
"variable07"	"observation157"	"group06"	2	0.123396642738953
"variable08"	"observation158"	"group06"	2	0.312740033026785
"variable09"	"observation159"	"group06"	2	0.79546771151945
"variable10"	"observation160"	"group06"	2	0.0148202171549201
"variable01"	"observation161"	"group07"	2	0.691270056879148
"variable02"	"observation162"	"group07"	2	0.539046962046996
"variable03"	"observation163"	"group07"	2	0.862719468539581
"variable04"	"observation164"	"group07"	2	0.643780938116834
"variable05"	"observation165"	"group07"	2	0.49995912797749
"variable06"	"observation166"	"group07"	2	0.456364020239562
"variable07"	"observation167"	"group07"	2	0.0953442272730172
"variable08"	"observation168"	"group07"	2	0.907334665767848
"variable09"	"observation169"	"group07"	2	0.907877734629437
"variable10"	"observation170"	"group07"	2	0.541603283956647
"variable01"	"observation171"	"group08"	2	0.983360298210755
"variable02"	"observation172"	"group08"	2	0.0202830256894231
"variable03"	"observation173"	"group08"	2	0.48921413323842
"variable04"	"observation174"	"group08"	2	0.0255556986667216
"variable05"	"observation175"	"group08"	2	0.686242484487593
"variable06"	"observation176"	"group08"	2	0.707826050231233
"variable07"	"observation177"	"group08"	2	0.241548221092671
"variable08"	"observation178"	"group08"	2	0.444419048959389
"variable09"	"observation179"	"group08"	2	0.939019579906017
"variable10"	"observation180"	"group08"	2	0.0818951537366956
"variable01"	"observation181"	"group09"	2	0.289108791388571
"variable02"	"observation182"	"group09"	2	0.691533538745716
"variable03"	"observation183"	"group09"	2	0.404220862314105
"variable04"	"observation184"	"group09"	2	0.250987835461274
"variable05"	"observation185"	"group09"	2	0.404480457538739
"variable06"	"observation186"	"group09"	2	0.665181828429922
"variable07"	"observation187"	"group09"	2	0.764368127565831
"variable08"	"observation188"	"group09"	2	0.969313954701647
"variable09"	"observation189"	"group09"	2	0.41729083028622
"variable10"	"observation190"	"group09"	2	0.685922534903511
"variable01"	"observation191"	"group10"	2	0.849009558791295
"variable02"	"observation192"	"group10"	2	0.31857450469397
"variable03"	"observation193"	"group10"	2	0.852349368855357
"variable04"	"observation194"	"group10"	2	0.690311494749039
"variable05"	"observation195"	"group10"	2	0.126235643867403
"variable06"	"observation196"	"group10"	2	0.078406966291368
"variable07"	"observation197"	"group10"	2	0.0650729602202773
"variable08"	"observation198"	"group10"	2	0.960499061038718
"variable09"	"observation199"	"group10"	2	0.434894596925005
"variable10"	"observation200"	"group10"	2	0.26567789260298
"variable01"	"observation201"	"group01"	3	0.0374062533956021
"variable02"	"observation202"	"group01"	3	0.879351995419711
"variable03"	"observation203"	"group01"	3	0.321154460310936
"variable04"	"observation204"	"group01"	3	0.375479862792417
"variable05"	"observation205"	"group01"	3	0.0224725014995784
"variable06"	"observation206"	"group01"	3	0.747032393934205
"variable07"	"observation207"	"group01"	3	0.237768400460482
"variable08"	"observation208"	"group01"	3	0.813680599676445
"variable09"	"observation209"	"group01"	3	0.0721051844302565
"variable10"	"observation210"	"group01"	3	0.423339903121814
"variable01"	"observation211"	"group02"	3	0.554247732507065
"variable02"	"observation212"	"group02"	3	0.142863499931991
"variable03"	"observation213"	"group02"	3	0.686499679228291
"variable04"	"observation214"	"group02"	3	0.645549873588607
"variable05"	"observation215"	"group02"	3	0.879915815778077
"variable06"	"observation216"	"group02"	3	0.274684670614079
"variable07"	"observation217"	"group02"	3	0.746078438591212
"variable08"	"observation218"	"group02"	3	0.655551188392565
"variable09"	"observation219"	"group02"	3	0.890559129416943
"variable10"	"observation220"	"group02"	3	0.932127590058371
"variable01"	"observation221"	"group03"	3	0.840011247899383
"variable02"	"observation222"	"group03"	3	0.925999992992729
"variable03"	"observation223"	"group03"	3	0.304739896208048
"variable04"	"observation224"	"group03"	3	0.908920939778909
"variable05"	"observation225"	"group03"	3	0.684206480393186
"variable06"	"observation226"	"group03"	3	0.0478298934176564
"variable07"	"observation227"	"group03"	3	0.255004334030673
"variable08"	"observation228"	"group03"	3	0.18047280004248
"variable09"	"observation229"	"group03"	3	0.627442424418405
"variable10"	"observation230"	"group03"	3	0.674410494044423
"variable01"	"observation231"	"group04"	3	0.194364122347906
"variable02"	"observation232"	"group04"	3	0.472377971746027
"variable03"	"observation233"	"group04"	3	0.418481447268277
"variable04"	"observation234"	"group04"	3	0.655502082314342
"variable05"	"observation235"	"group04"	3	0.901358506176621
"variable06"	"observation236"	"group04"	3	0.0824957557488233
"variable07"	"observation237"	"group04"	3	0.533401062479243
"variable08"	"observation238"	"group04"	3	0.444338720059022
"variable09"	"observation239"	"group04"	3	0.594314201502129
"variable10"	"observation240"	"group04"	3	0.67892879457213
"variable01"	"observation241"	"group05"	3	0.243435279699042
"variable02"	"observation242"	"group05"	3	0.793610108550638
"variable03"	"observation243"	"group05"	3	0.729317496996373
"variable04"	"observation244"	"group05"	3	0.54715893114917
"variable05"	"observation245"	"group05"	3	0.84323689294979
"variable06"	"observation246"	"group05"	3	0.742597146891057
"variable07"	"observation247"	"group05"	3	0.111335248686373
"variable08"	"observation248"	"group05"	3	0.166828480549157
"variable09"	"observation249"	"group05"	3	0.484955646796152
"variable10"	"observation250"	"group05"	3	0.765574600081891
"variable01"	"observation251"	"group06"	3	0.182411952177063
"variable02"	"observation252"	"group06"	3	0.460714760469273
"variable03"	"observation253"	"group06"	3	0.136628428474069
"variable04"	"observation254"	"group06"	3	0.744636825285852
"variable05"	"observation255"	"group06"	3	0.843866493087262
"variable06"	"observation256"	"group06"	3	0.697747340193018
"variable07"	"observation257"	"group06"	3	0.52063785167411
"variable08"	"observation258"	"group06"	3	0.806810904992744
"variable09"	"observation259"	"group06"	3	0.376580491196364
"variable10"	"observation260"	"group06"	3	0.27857192303054
"variable01"	"observation261"	"group07"	3	0.527416501194239
"variable02"	"observation262"	"group07"	3	0.602798892417923
"variable03"	"observation263"	"group07"	3	0.19477195199579
"variable04"	"observation264"	"group07"	3	0.662883793236688
"variable05"	"observation265"	"group07"	3	0.923464875435457
"variable06"	"observation266"	"group07"	3	0.965398024534807
"variable07"	"observation267"	"group07"	3	0.919212711742148
"variable08"	"observation268"	"group07"	3	0.340386188589036
"variable09"	"observation269"	"group07"	3	0.98261538753286
"variable10"	"observation270"	"group07"	3	0.332552641630173
"variable01"	"observation271"	"group08"	3	0.58946360880509
"variable02"	"observation272"	"group08"	3	0.342584169004112
"variable03"	"observation273"	"group08"	3	0.0256596512626857
"variable04"	"observation274"	"group08"	3	0.193293377058581
"variable05"	"observation275"	"group08"	3	0.991880193352699
"variable06"	"observation276"	"group08"	3	0.172299157362431
"variable07"	"observation277"	"group08"	3	0.757667126366869
"variable08"	"observation278"	"group08"	3	0.503808598266914
"variable09"	"observation279"	"group08"	3	0.426302117295563
"variable10"	"observation280"	"group08"	3	0.0845481720753014
"variable01"	"observation281"	"group09"	3	0.0239128728862852
"variable02"	"observation282"	"group09"	3	0.134212942561135
"variable03"	"observation283"	"group09"	3	0.732057792600244
"variable04"	"observation284"	"group09"	3	0.719717625528574
"variable05"	"observation285"	"group09"	3	0.10760041163303
"variable06"	"observation286"	"group09"	3	0.894274008460343
"variable07"	"observation287"	"group09"	3	0.913686147658154
"variable08"	"observation288"	"group09"	3	0.113315348047763
"variable09"	"observation289"	"group09"	3	0.069823260884732
"variable10"	"observation290"	"group09"	3	0.887748778797686
"variable01"	"observation291"	"group10"	3	0.933594312751666
"variable02"	"observation292"	"group10"	3	0.661795270862058
"variable03"	"observation293"	"group10"	3	0.10596471792087
"variable04"	"observation294"	"group10"	3	0.343386788619682
"variable05"	"observation295"	"group10"	3	0.0479879938066006
"variable06"	"observation296"	"group10"	3	0.807751681655645
"variable07"	"observation297"	"group10"	3	0.158458026591688
"variable08"	"observation298"	"group10"	3	0.0769015541300178
"variable09"	"observation299"	"group10"	3	0.774388243444264
"variable10"	"observation300"	"group10"	3	0.919217636343092
"variable01"	"observation301"	"group01"	4	0.18420597887598
"variable02"	"observation302"	"group01"	4	0.176395463990048
"variable03"	"observation303"	"group01"	4	0.91164479823783
"variable04"	"observation304"	"group01"	4	0.287667179945856
"variable05"	"observation305"	"group01"	4	0.354107856750488
"variable06"	"observation306"	"group01"	4	0.218804168282077
"variable07"	"observation307"	"group01"	4	0.977059776661918
"variable08"	"observation308"	"group01"	4	0.207717186771333
"variable09"	"observation309"	"group01"	4	0.119542733766139
"variable10"	"observation310"	"group01"	4	0.16793758654967
"variable01"	"observation311"	"group02"	4	0.882478775223717
"variable02"	"observation312"	"group02"	4	0.276168788317591
"variable03"	"observation313"	"group02"	4	0.891996524995193
"variable04"	"observation314"	"group02"	4	0.265373229980469
"variable05"	"observation315"	"group02"	4	0.704011188587174
"variable06"	"observation316"	"group02"	4	0.935589064145461
"variable07"	"observation317"	"group02"	4	0.532480401452631
"variable08"	"observation318"	"group02"	4	0.319494817405939
"variable09"	"observation319"	"group02"	4	0.229996371082962
"variable10"	"observation320"	"group02"	4	0.594659133115783
"variable01"	"observation321"	"group03"	4	0.229762409813702
"variable02"	"observation322"	"group03"	4	0.780607912922278
"variable03"	"observation323"	"group03"	4	0.0166278386022896
"variable04"	"observation324"	"group03"	4	0.407886069035158
"variable05"	"observation325"	"group03"	4	0.798896730178967
"variable06"	"observation326"	"group03"	4	0.733074293937534
"variable07"	"observation327"	"group03"	4	0.766484154155478
"variable08"	"observation328"	"group03"	4	0.885342705529183
"variable09"	"observation329"	"group03"	4	0.72960067819804
"variable10"	"observation330"	"group03"	4	0.325392569648102
"variable01"	"observation331"	"group04"	4	0.987882321001962
"variable02"	"observation332"	"group04"	4	0.0697997356764972
"variable03"	"observation333"	"group04"	4	0.690541773568839
"variable04"	"observation334"	"group04"	4	0.741867114091292
"variable05"	"observation335"	"group04"	4	0.20408633723855
"variable06"	"observation336"	"group04"	4	0.227331567555666
"variable07"	"observation337"	"group04"	4	0.174674444366246
"variable08"	"observation338"	"group04"	4	0.806892191059887
"variable09"	"observation339"	"group04"	4	0.944017512956634
"variable10"	"observation340"	"group04"	4	0.903853535652161
"variable01"	"observation341"	"group05"	4	0.45229932339862
"variable02"	"observation342"	"group05"	4	0.021770010702312
"variable03"	"observation343"	"group05"	4	0.209422357846051
"variable04"	"observation344"	"group05"	4	0.814711275743321
"variable05"	"observation345"	"group05"	4	0.450143240625039
"variable06"	"observation346"	"group05"	4	0.350870296591893
"variable07"	"observation347"	"group05"	4	0.343704518629238
"variable08"	"observation348"	"group05"	4	0.755133443744853
"variable09"	"observation349"	"group05"	4	0.125942221144214
"variable10"	"observation350"	"group05"	4	0.251044891076162
"variable01"	"observation351"	"group06"	4	0.91243387805298
"variable02"	"observation352"	"group06"	4	0.477221583481878
"variable03"	"observation353"	"group06"	4	0.20529982005246
"variable04"	"observation354"	"group06"	4	0.614956133533269
"variable05"	"observation355"	"group06"	4	0.0968451746739447
"variable06"	"observation356"	"group06"	4	0.556429466931149
"variable07"	"observation357"	"group06"	4	0.71984467911534
"variable08"	"observation358"	"group06"	4	0.973294026916847
"variable09"	"observation359"	"group06"	4	0.800329923164099
"variable10"	"observation360"	"group06"	4	0.232848537387326
"variable01"	"observation361"	"group07"	4	0.413699670927599
"variable02"	"observation362"	"group07"	4	0.38408939098008
"variable03"	"observation363"	"group07"	4	0.737798748072237
"variable04"	"observation364"	"group07"	4	0.492679895600304
"variable05"	"observation365"	"group07"	4	0.355600918410346
"variable06"	"observation366"	"group07"	4	0.256727082422003
"variable07"	"observation367"	"group07"	4	0.0702218287624419
"variable08"	"observation368"	"group07"	4	0.846841581864282
"variable09"	"observation369"	"group07"	4	0.410498457727954
"variable10"	"observation370"	"group07"	4	0.934405506355688
"variable01"	"observation371"	"group08"	4	0.550876301946118
"variable02"	"observation372"	"group08"	4	0.673531000269577
"variable03"	"observation373"	"group08"	4	0.413347295718268
"variable04"	"observation374"	"group08"	4	0.656741777202114
"variable05"	"observation375"	"group08"	4	0.974266466451809
"variable06"	"observation376"	"group08"	4	0.466199460439384
"variable07"	"observation377"	"group08"	4	0.181275737471879
"variable08"	"observation378"	"group08"	4	0.699841849971563
"variable09"	"observation379"	"group08"	4	0.983728539897129
"variable10"	"observation380"	"group08"	4	0.381753084948286
"variable01"	"observation381"	"group09"	4	0.76335808634758
"variable02"	"observation382"	"group09"	4	0.6196784817148
"variable03"	"observation383"	"group09"	4	0.210205636685714
"variable04"	"observation384"	"group09"	4	0.124607334146276
"variable05"	"observation385"	"group09"	4	0.729479802306741
"variable06"	"observation386"	"group09"	4	0.0957533775363117
"variable07"	"observation387"	"group09"	4	0.0469557028263807
"variable08"	"observation388"	"group09"	4	0.0634465995244682
"variable09"	"observation389"	"group09"	4	0.164782925741747
"variable10"	"observation390"	"group09"	4	0.167174598900601
"variable01"	"observation391"	"group10"	4	0.502280781045556
"variable02"	"observation392"	"group10"	4	0.95695757935755
"variable03"	"observation393"	"group10"	4	0.357150346273556
"variable04"	"observation394"	"group10"	4	0.0749617398250848
"variable05"	"observation395"	"group10"	4	0.460129938786849
"variable06"	"observation396"	"group10"	4	0.847873797873035
"variable07"	"observation397"	"group10"	4	0.32384315948002
"variable08"	"observation398"	"group10"	4	0.0907341248821467
"variable09"	"observation399"	"group10"	4	0.163202369818464
"variable10"	"observation400"	"group10"	4	0.205829149344936
"variable01"	"observation401"	"group01"	5	0.0114523905795068
"variable02"	"observation402"	"group01"	5	0.173519278643653
"variable03"	"observation403"	"group01"	5	0.366142760030925
"variable04"	"observation404"	"group01"	5	0.512323885690421
"variable05"	"observation405"	"group01"	5	0.852650664048269
"variable06"	"observation406"	"group01"	5	0.840712727978826
"variable07"	"observation407"	"group01"	5	0.308366877958179
"variable08"	"observation408"	"group01"	5	0.103838732698932
"variable09"	"observation409"	"group01"	5	0.629141723271459
"variable10"	"observation410"	"group01"	5	0.0607813068199903
"variable01"	"observation411"	"group02"	5	0.316338160075247
"variable02"	"observation412"	"group02"	5	0.239396520424634
"variable03"	"observation413"	"group02"	5	0.812038961797953
"variable04"	"observation414"	"group02"	5	0.465056840097532
"variable05"	"observation415"	"group02"	5	0.175693383440375
"variable06"	"observation416"	"group02"	5	0.0619734877254814
"variable07"	"observation417"	"group02"	5	0.00835633231326938
"variable08"	"observation418"	"group02"	5	0.0183075563982129
"variable09"	"observation419"	"group02"	5	0.671278780093417
"variable10"	"observation420"	"group02"	5	0.630769756389782
"variable01"	"observation421"	"group03"	5	0.711945904185995
"variable02"	"observation422"	"group03"	5	0.175280227325857
"variable03"	"observation423"	"group03"	5	0.212292155018076
"variable04"	"observation424"	"group03"	5	0.221991309663281
"variable05"	"observation425"	"group03"	5	0.822479239664972
"variable06"	"observation426"	"group03"	5	0.297389558982104
"variable07"	"observation427"	"group03"	5	0.443460185313597
"variable08"	"observation428"	"group03"	5	0.443740510381758
"variable09"	"observation429"	"group03"	5	0.860071148490533
"variable10"	"observation430"	"group03"	5	0.735857035731897
"variable01"	"observation431"	"group04"	5	0.368869251804426
"variable02"	"observation432"	"group04"	5	0.0433647863101214
"variable03"	"observation433"	"group04"	5	0.962665065191686
"variable04"	"observation434"	"group04"	5	0.620365425245836
"variable05"	"observation435"	"group04"	5	0.613236292731017
"variable06"	"observation436"	"group04"	5	0.0174184099305421
"variable07"	"observation437"	"group04"	5	0.661081690341234
"variable08"	"observation438"	"group04"	5	0.483114785747603
"variable09"	"observation439"	"group04"	5	0.367685043020174
"variable10"	"observation440"	"group04"	5	0.91771874553524
"variable01"	"observation441"	"group05"	5	0.221302274614573
"variable02"	"observation442"	"group05"	5	0.589186620665714
"variable03"	"observation443"	"group05"	5	0.0672508522402495
"variable04"	"observation444"	"group05"	5	0.579200632404536
"variable05"	"observation445"	"group05"	5	0.198115257546306
"variable06"	"observation446"	"group05"	5	0.63439587620087
"variable07"	"observation447"	"group05"	5	0.843757505062968
"variable08"	"observation448"	"group05"	5	0.356926779262722
"variable09"	"observation449"	"group05"	5	0.548344298731536
"variable10"	"observation450"	"group05"	5	0.976142860017717
"variable01"	"observation451"	"group06"	5	0.793721586000174
"variable02"	"observation452"	"group06"	5	0.533498832257465
"variable03"	"observation453"	"group06"	5	0.278076934162527
"variable04"	"observation454"	"group06"	5	0.78255484928377
"variable05"	"observation455"	"group06"	5	0.606090184068307
"variable06"	"observation456"	"group06"	5	0.699395836796612
"variable07"	"observation457"	"group06"	5	0.508125864202157
"variable08"	"observation458"	"group06"	5	0.905312278540805
"variable09"	"observation459"	"group06"	5	0.706563591957092
"variable10"	"observation460"	"group06"	5	0.382470562821254
"variable01"	"observation461"	"group07"	5	0.0880348335485905
"variable02"	"observation462"	"group07"	5	0.371923242462799
"variable03"	"observation463"	"group07"	5	0.825730317970738
"variable04"	"observation464"	"group07"	5	0.219432056881487
"variable05"	"observation465"	"group07"	5	0.268866532249376
"variable06"	"observation466"	"group07"	5	0.65718936175108
"variable07"	"observation467"	"group07"	5	0.0769585755188018
"variable08"	"observation468"	"group07"	5	0.257543638115749
"variable09"	"observation469"	"group07"	5	0.0690739576239139
"variable10"	"observation470"	"group07"	5	0.0230560433119535
"variable01"	"observation471"	"group08"	5	0.0911268864292651
"variable02"	"observation472"	"group08"	5	0.183642276097089
"variable03"	"observation473"	"group08"	5	0.0304232086054981
"variable04"	"observation474"	"group08"	5	0.566580325597897
"variable05"	"observation475"	"group08"	5	0.346982522634789
"variable06"	"observation476"	"group08"	5	0.118571213213727
"variable07"	"observation477"	"group08"	5	0.63183106482029
"variable08"	"observation478"	"group08"	5	0.0455859433859587
"variable09"	"observation479"	"group08"	5	0.932437624083832
"variable10"	"observation480"	"group08"	5	0.300833906047046
"variable01"	"observation481"	"group09"	5	0.0730060774367303
"variable02"	"observation482"	"group09"	5	0.841013526078314
"variable03"	"observation483"	"group09"	5	0.0793943754397333
"variable04"	"observation484"	"group09"	5	0.940259316470474
"variable05"	"observation485"	"group09"	5	0.956077725393698
"variable06"	"observation486"	"group09"	5	0.154800815973431
"variable07"	"observation487"	"group09"	5	0.49919400899671
"variable08"	"observation488"	"group09"	5	0.667894295882434
"variable09"	"observation489"	"group09"	5	0.858401338802651
"variable10"	"observation490"	"group09"	5	0.893244833685458
"variable01"	"observation491"	"group10"	5	0.406745872227475
"variable02"	"observation492"	"group10"	5	0.309802767354995
"variable03"	"observation493"	"group10"	5	0.216862184228376
"variable04"	"observation494"	"group10"	5	0.781342766014859
"variable05"	"observation495"	"group10"	5	0.194105006754398
"variable06"	"observation496"	"group10"	5	0.795020758872852
"variable07"	"observation497"	"group10"	5	0.812499337596819
"variable08"	"observation498"	"group10"	5	0.632994262035936
"variable09"	"observation499"	"group10"	5	0.984568802407011
"variable10"	"observation500"	"group10"	5	0.431091455975547
